고객ID ,데이터셋 구분,보험사기자여부,성별,연령,주택가격,거주TYPE,FP경력,고객등록년월,시도구분,직업그룹코드1,직업그룹코드2,추정가구소득1,추정가구소득2,,,,
1,1,N,2,47,21111,20,N,199910,충북,사무직,사무직,10094,11337,,,,
2,1,N,1,53,40000,20,N,199910,서울,사무직,사무직,9143,6509,,,,
3,1,N,1,60,0,,N,199910,서울,서비스,2차산업 종사자,0,4180,,,,
4,1,N,2,64,12861,40,Y,199910,경기,자영업,3차산업 종사자,4270,5914,,,,
5,1,N,2,54,0,,Y,199910,광주,자영업,3차산업 종사자,0,8885,,,,
6,1,N,1,62,6218,99,N,199910,충남,사무직,고위 공무원,0,6449,,,,
7,1,Y,2,60,11388,30,N,199910,서울,서비스,3차산업 종사자,0,3611,,,,
8,1,N,1,57,86527,20,Y,199910,서울,자영업,자영업,12219,12063,,,,
9,1,N,1,54,22638,20,N,199910,서울,전문직,공무원,7553,9821,,,,
12,1,N,1,58,37222,20,N,199910,서울,전문직,대학교수/강사,10466,13858,,,,
13,1,Y,1,63,8140,50,N,199910,경기,제조업,운전직,4066,,,,,
15,1,N,1,59,23055,20,N,199910,서울,사무직,사무직,6654,4362,,,,
16,1,N,2,52,6684,12,N,199910,전북,주부,주부,5285,5620,,,,
17,1,N,1,68,14027,20,N,199910,대구,서비스,2차산업 종사자,4538,5869,,,,
18,1,N,1,48,33333,20,N,199910,경기,서비스,2차산업 종사자,9026,10079,,,,
19,1,N,1,64,15833,20,N,199911,경기,자영업,자영업,5075,6120,,,,
20,1,N,1,57,28888,20,N,200003,경기,자영업,자영업,9441,9481,,,,
21,1,N,2,63,8802,11,N,200011,경북,주부,주부,3973,3922,,,,
22,1,N,2,51,4309,12,Y,200102,경기,자영업,3차산업 종사자,5206,10174,,,,
23,1,N,1,81,7813,40,N,200102,대구,서비스,3차산업 종사자,1274,1379,,,,
24,1,N,2,58,1471,11,N,200103,부산,자영업,자영업,4534,9050,,,,
25,1,N,2,49,30000,20,N,200103,경기,주부,주부,7591,5323,,,,
26,1,Y,2,55,15555,20,Y,200104,광주,자영업,3차산업 종사자,6381,9091,,,,
27,1,N,1,55,36111,20,N,200104,서울,제조업,운전직,10707,10737,,,,
28,1,N,1,61,17777,20,N,200105,인천,사무직,사무직,6889,,,,,
29,1,N,2,39,0,,N,200106,울산,사무직,공무원,0,7331,,,,
30,1,N,2,57,4865,30,N,200106,대구,주부,주부,3998,3921,,,,
31,1,N,2,54,10683,99,N,200106,부산,자영업,자영업,0,4688,납입총보험료,신용등급(최소),신용등급(최대),결혼여부
32,1,N,2,52,15194,99,Y,200106,서울,주부,주부,0,4909,,,,
33,1,N,2,47,8888,20,N,200107,경남,기타,단순 노무직,0,9147,,,,
34,1,N,2,49,18888,20,N,200107,대구,주부,주부,0,5369,,,,
35,1,N,1,51,34631,20,N,200107,서울,서비스,2차산업 종사자,9811,5557,,,,
36,1,N,1,47,6569,99,N,200107,전남,1차산업,1차산업 종사자,0,3560,,,,
37,2,,2,46,14027,20,N,200107,경북,주부,주부,5923,5384,,,,
38,1,N,2,40,13427,40,N,200108,서울,주부,주부,5233,4559,,,,
39,1,N,2,46,8147,40,N,200108,경기,주부,주부,4168,4709,,,,
40,1,N,1,53,7916,20,N,200108,전북,사무직,사무직,5426,4737,,,,
41,1,N,2,48,15311,40,N,200108,서울,주부,주부,6169,3161,,,,
42,1,N,2,55,10000,30,Y,200108,경기,주부,주부,5753,5735,,,,
43,1,N,2,41,27777,20,N,200108,경남,서비스,3차산업 종사자,8206,7237,,,,
44,1,N,2,61,9861,20,N,200108,대전,주부,주부,4365,4326,,,,
45,1,N,2,58,10555,20,N,200108,경기,서비스,3차산업 종사자,5556,5520,,,,
46,1,N,2,62,6666,20,N,200109,전북,서비스,3차산업 종사자,3745,3953,,,,
47,1,N,2,49,10441,99,Y,200109,경기,주부,주부,0,3175,,,,
48,1,N,2,42,20416,20,Y,200109,경기,자영업,자영업,5392,8201,,,,
49,1,N,2,58,15015,11,N,200109,경기,주부,주부,5867,5799,,,,
50,1,N,2,63,9189,99,N,200109,인천,주부,주부,0,0,,,,
51,2,,2,48,26250,20,Y,200110,대구,자영업,3차산업 종사자,9717,10710,,,,
52,1,N,1,50,26944,20,N,200110,인천,서비스,2차산업 종사자,7136,10026,,,,
53,1,N,1,72,12222,20,N,200110,서울,기타,기타,1534,1534,,,,
54,1,Y,2,52,5833,20,Y,200111,전남,주부,주부,5126,5141,,,,
55,1,N,2,55,4027,30,Y,200111,경남,자영업,3차산업 종사자,5006,3953,,,,
56,1,Y,2,57,7271,11,N,200111,광주,자영업,자영업,5408,5677,,,,
57,1,N,2,49,0,,Y,200112,경기,제조업,2차산업 종사자,0,7988,,,,
58,1,N,2,79,25833,20,N,200112,부산,주부,주부,2619,2621,,,,
59,1,N,2,44,14542,99,N,200112,서울,서비스,3차산업 종사자,0,3949,,,,
60,2,,1,51,6707,12,N,200112,경기,사무직,2차산업 종사자,5406,5126,,,,
61,1,N,1,38,8888,20,N,200112,경기,제조업,운전직,3478,4208,,,,
62,1,N,1,47,19444,20,N,200201,경기,사무직,사무직,6152,10951,,,,
63,1,Y,2,51,12326,12,Y,200201,부산,기타,3차산업 종사자,6122,8145,,,,
64,1,N,2,60,50972,20,N,200203,서울,자영업,자영업,0,5754,,,,
65,2,,1,46,1603,13,N,200203,경북,제조업,운전직,4900,3660,,,,
66,1,Y,2,49,13333,20,N,200203,광주,서비스,3차산업 종사자,3955,7527,,,,
67,1,N,2,43,0,,N,200203,경남,전문직,교육관련직,0,10700,,,,
68,1,N,2,47,30000,20,N,200205,경기,제조업,2차산업 종사자,7652,9615,,,,
69,1,N,2,52,6291,12,N,200205,인천,자영업,자영업,5340,11319,,,,
70,1,N,1,63,3638,11,N,200206,전북,자영업,자영업,3491,4268,,,,
71,1,N,2,55,0,,N,200207,부산,서비스,2차산업 종사자,0,7094,,,,
72,1,N,2,61,8055,20,N,200207,경남,주부,주부,5559,5512,,,,
