ID,SIU,GENDER,AGE,RESI_COST,FP_CA,RGST,CTPR,WEDD,CHLD,DMND_AMT,PAYM_AMT
15341,N,2,71,4580,N,200702,강원,N,0,300000,300000
8662,N,2,51,10751,N,200701,강원,N,0,240000,240000
6450,Y,2,66,1666,N,200609,강원,N,0,1080000,1080000
13036,N,2,60,8750,N,200605,강원,N,0,220000,220000
15252,N,2,63,11666,N,200511,강원,N,0,200000,200000
4075,Y,2,68,4027,N,200503,강원,N,0,1080000,1080000
15094,N,2,63,2061,N,200402,강원,N,0,300000,300000
14375,N,2,44,5833,N,200306,강원,N,0,230000,230000
9181,N,2,71,10138,N,200306,강원,N,0,160000,160000
5640,N,2,40,15897,N,200306,강원,N,0,20000,20000
12394,N,2,35,3805,N,200306,강원,N,0,416000,416000
18984,N,2,43,9246,N,200306,강원,N,0,5163,5163
11717,Y,2,57,5138,N,200306,강원,N,0,110000,110000
16275,N,2,55,10555,N,200306,강원,N,0,180000,180000
9342,N,2,61,14904,N,200306,강원,N,0,100000,100000
21253,N,2,41,4872,N,200306,강원,N,0,21024800,20000000
7249,N,2,59,18333,N,200306,강원,N,0,45000,45000
16753,N,2,40,15555,N,200306,강원,N,0,20000,20000
13669,N,2,67,3917,N,200306,강원,N,0,200000,200000
9195,N,2,70,6204,N,200306,강원,N,0,150000,150000
13593,N,2,74,10000,N,200306,강원,N,0,280000,280000
10375,Y,2,58,2093,N,200011,강원,N,0,240000,240000
6849,Y,2,65,3793,Y,199809,강원,N,0,4025000,4025000
8280,N,2,45,6111,N,199705,강원,N,0,120000,120000
6844,Y,2,68,5393,Y,199110,강원,N,0,880000,880000
13318,N,2,31,2029,N,201206,강원,Y,0,378000,378000
10840,Y,2,60,18302,N,200701,강원,Y,0,1860000,1860000
4156,N,2,48,16416,N,200602,강원,Y,0,400000,400000
19733,N,2,51,6111,N,200508,강원,Y,0,75000,75000
19611,N,2,63,4733,N,200401,강원,Y,0,20000,20000
7393,Y,2,55,1666,N,200306,강원,Y,0,570000,570000
18473,Y,2,58,1944,N,200306,강원,Y,0,410000,410000
20371,N,2,79,6797,N,200306,강원,Y,0,25000,25000
2514,N,2,69,6878,N,200306,강원,Y,0,493610,493289
11786,N,2,55,4861,N,200306,강원,Y,0,80000,80000
7228,N,2,60,11666,N,200306,강원,Y,0,300000,300000
9183,N,2,71,7222,N,200306,강원,Y,0,21000000,21000000
9397,Y,2,59,5870,N,200306,강원,Y,0,1540000,1540000
288,N,2,68,18333,N,200306,강원,Y,0,270000,270000
7136,N,2,63,5140,N,200306,강원,Y,0,18000,18000
18376,N,2,60,4221,N,200306,강원,Y,0,50000,50000
246,N,2,74,3775,N,200306,강원,Y,0,300000,300000
13582,N,2,76,9305,N,200306,강원,Y,0,100000,100000
10086,Y,2,37,12288,N,200306,강원,Y,0,260000,260000
4995,N,2,59,5555,N,200306,강원,Y,0,200000,200000
20847,N,2,54,11577,N,200306,강원,Y,0,5000000,5000000
12774,N,2,48,13333,N,200306,강원,Y,0,650000,650000
18018,N,2,60,19722,N,200203,강원,Y,0,75015,75000
2282,N,2,60,6667,N,200112,강원,Y,0,170000,170000
8983,N,2,52,14490,N,200103,강원,Y,0,100000,100000
154,N,2,40,14027,Y,199810,강원,Y,0,100000,100000
13468,N,2,63,5833,Y,198711,강원,Y,0,488000,488000
20018,N,2,53,10014,N,201006,강원,Y,1,30000,30000
20013,N,2,36,17593,N,201005,강원,Y,1,38795,38795
17733,N,2,45,2655,N,200903,강원,Y,1,200000,200000
10824,N,2,45,10000,N,200611,강원,Y,1,300000,300000
1777,N,2,49,10704,N,200410,강원,Y,1,400000,400000
15107,Y,2,59,9583,N,200403,강원,Y,1,240000,240000
14482,N,2,41,9166,N,200306,강원,Y,1,20000,20000
5799,N,2,33,10833,N,200306,강원,Y,1,120000,120000
1072,Y,2,43,5892,N,200306,강원,Y,1,300000,300000
16227,N,2,56,8666,N,200306,강원,Y,1,0,0
21419,N,2,35,9166,N,200306,강원,Y,1,100000,100000
9343,N,1,61,8324,N,200306,강원,Y,1,600000,600000
18580,Y,2,55,2222,N,200306,강원,Y,1,300000,300000
456,Y,2,61,2351,N,200306,강원,Y,1,2260000,2260000
7438,Y,2,54,2023,Y,200306,강원,Y,1,2280000,2280000
5540,N,2,43,7222,N,200306,강원,Y,1,96000,96000
4963,N,2,60,17222,N,200306,강원,Y,1,300000,300000
3104,N,2,49,10555,N,200306,강원,Y,1,200000,200000
5097,N,2,57,6898,N,200306,강원,Y,1,180000,180000
5712,N,2,37,20694,N,200306,강원,Y,1,180000,180000
17134,Y,2,63,3611,N,200206,강원,Y,1,200000,200000
13489,Y,2,56,4305,Y,200111,강원,Y,1,1200000,1200000
5205,Y,2,54,2500,N,200011,강원,Y,1,220000,220000
4664,Y,2,58,12916,Y,200005,강원,Y,1,1620000,1620000
2266,N,2,65,6204,Y,198903,강원,Y,1,200000,200000
22289,N,2,29,5694,N,201007,강원,Y,2,15400,15400
10989,N,2,53,23888,N,200912,강원,Y,2,546317,546317
15182,N,2,40,19583,N,200501,강원,Y,2,120000,120000
14470,N,2,42,12846,N,200306,강원,Y,2,20000,20000
21697,Y,2,48,4166,N,200306,강원,Y,2,3360000,3360000
9852,N,2,47,13333,N,200306,강원,Y,2,300000,300000
5475,N,2,46,20277,N,200306,강원,Y,2,74310,74310
14260,N,2,48,24444,N,200306,강원,Y,2,50000,50000
20948,N,2,50,9027,N,200306,강원,Y,2,184200,184200
20877,N,2,53,4800,N,200306,강원,Y,2,67800,67800
11633,Y,2,60,2298,N,200306,강원,Y,2,825000,825000
3027,N,2,51,3333,N,200306,강원,Y,2,20000,20000
16000,N,2,63,18390,N,200306,강원,Y,2,130000,130000
21352,N,2,38,12957,N,200306,강원,Y,2,50000,50000
4962,N,2,60,7856,N,200306,강원,Y,2,0,0
9588,Y,2,54,31122,N,200306,강원,Y,2,800000,800000
21027,N,2,48,4232,N,200306,강원,Y,2,1000000,1000000
18704,N,2,51,6527,N,200306,강원,Y,2,280000,280000
16643,N,2,44,5985,Y,200306,강원,Y,2,300000,300000
7593,N,2,49,4963,N,200306,강원,Y,2,150000,150000
2996,Y,2,52,5183,N,200306,강원,Y,2,200000,200000
14147,N,2,52,8750,N,200306,강원,Y,2,1140000,1140000
20992,N,2,49,11944,N,200306,강원,Y,2,140900,140900
452,Y,2,61,20277,N,200306,강원,Y,2,32829479,32658902
18517,N,2,56,3184,N,200306,강원,Y,2,163472,163472
1546,N,2,53,8333,N,200103,강원,Y,2,90000,90000
3773,N,2,56,7562,N,200010,강원,Y,2,133500,133500
