대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-24,21,117,117. 홍은사거리,정기권,,20대,1,36.55,0.33,1420.0,11
2019-05-29,3,2102,2102. 봉림교 교통섬,정기권,M,40대,1,2288.44,14.90,64210.0,4
2019-05-26,3,1060,1060. 천일초교 사거리,일일권,,20대,1,151.09,1.36,5870.0,23
2019-05-27,23,700,700. KB국민은행 염창역 지점 앞,정기권,F,30대,1,93.51,1.07,4630.0,30
2019-05-25,21,1603,1603. 롯데캐슬 102동 코너(월계주유소건너),정기권,M,30대,1,20.20,0.17,750.0,4
2019-05-24,20,165,165. 중앙근린공원,정기권,,~10대,1,88.73,0.68,2910.0,12
2019-05-26,18,3515,3515. 서울숲 관리사무소,일일권,,20대,12,1804.73,16.62,71610.0,533
2019-05-29,18,1287,1287. 위례아이파크 101동 맞은편,정기권,,50대,1,8.87,0.06,280.0,3
2019-05-27,18,1288,1288. 문정중교 사거리,정기권,,30대,1,20.28,0.15,640.0,2
2019-05-28,20,1286,1286. 위례중앙푸르지오 1단지 앞,일일권,,30대,1,68.86,0.55,2350.0,16
2019-05-30,19,1334,1334. 석관동주민센터 앞,일일권,,20대,1,149.55,1.35,5810.0,35
2019-05-24,14,458,458. 광화문역 5번출구,정기권,,40대,1,8.75,0.08,340.0,2
2019-05-24,18,271,271. 샛강생태공원방문자센터 앞,정기권,M,30대,1,46.89,0.44,1910.0,10
2019-05-24,18,280,280. 양평동6차현대아파트 앞,정기권,M,30대,1,86.03,0.64,2750.0,12
2019-05-25,7,1515,1515. 송천동 주민센터,정기권,,30대,1,0.00,0.00,0.0,0
2019-05-28,0,1129,1129. 화곡역 1번 출구 앞,정기권,,40대,1,158.30,1.43,6150.0,45
2019-05-31,13,173,173. 서대문역 8번출구 앞,정기권,M,30대,1,30.44,0.29,1240.0,10
2019-05-26,0,2000,2000. 신도림4차 e편한세상 아파트 1109동 앞,정기권,M,20대,1,25.20,0.20,860.0,5
