,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
94,비례,비례대표,새누리당,민현주,여,1969-07-23,경기대학교 일반대학원 직업학과 조교수,"Cornell 대학교 대학원 사회학과졸업(박사), (1999.8~2004.8)",(현)경기대학교 일반대학원 직업학과 조교수,,48,비례,교수,Cornell,,,,
135,비례,비례대표,새누리당,신경림,여,1954-03-22,이화여자대학교 건강과학대학학장,"Teachers College, Columbia University 대학원졸업(교육학박사), (1989.9~1992.2)",(현)한국여성단체협의회 수석부회장,,63,비례,교수,Columbia,,,,
235,경기,하남시,새누리당,이현재,남,1949-04-25,정당인,건국대학교 대학원 경영학박사,(전)중소기업청장,"33,861",68,경기,정당인,건국대학교,,,,
294,인천,남구갑,새누리당,홍일표,남,1956-02-11,국회의원,건국대학교 대학원 법학과 졸업(법학석사),(전)인천광역시 정무부시장,"40,195",61,인천,국회의원,건국대학교,,,,
185,충북,충주시,새누리당,윤진식,남,1946-03-04,국회의원,건국대학교 일반대학원 국제무역학과 졸업(경제학박사),전)산업자원부장관,"56,688",71,충북,국회의원,건국대학교,,,,
131,비례,비례대표,새누리당,손인춘,여,1959-05-13,(주)인성내츄럴 사장,건국대학교 일반대학원 박사과정 벤처전문기술학과 벤처기술경영전공수료,(현)(주)인성내츄럴 사장,,58,비례,기업인,건국대학교,,,,
69,서울,광진구갑,민주통합당,김한길,남,1953-09-17,정당인,건국대학교 정치외교학과 졸업,(전)문화관광부 장관,"44,334",64,서울,정당인,건국대학교,,,,
122,경기,광명시갑,민주통합당,백재현,남,1951-07-04,국회의원,경기대학교 무역학과 졸업,(현) 민주통합당 정책위수석부의장,"35,657",66,경기,국회의원,경기대학교,,,,
4,전북,남원시순창군,통합진보당,강동원,남,1953-01-20,정당인,경기대학교 정치전문대학원 박사과정 졸업(정치학박사),(전)농수산물 유통공사 감사,"28,007",64,전북,정당인,경기대학교,,,,
192,서울,노원구갑,새누리당,이노근,남,1954-03-09,광운대학교 겸임교수,경기대학교 정치전문대학원 졸업(행정학 박사),(전)노원구청장,"40,865",63,서울,교수,경기대학교,,,,
121,비례,비례대표,민주통합당,백군기,남,1950-02-12,부천대학교 초빙교수,경남대학교 경영대학원 경영학석사,(전)3군사령부 군사령관,,67,비례,교수,경남대학교,,,,
300,경기,파주시을,새누리당,황진하,남,1946-08-25,제18대 국회의원,경남대학교 대학원 박사과정수료(정치외교학),(전)17대 국회의원,"35,408",71,경기,국회의원,경남대학교,,,,
210,전남,무안군신안군,민주통합당,이윤석,남,1960-03-16,국회의원,경남대학교 대학원 정치외교학과 정치학박사 졸업,(현) 민주통합당 원내부대표,"37,477",57,전남,국회의원,경남대학교,,,,
142,경기,수원시을,민주통합당,신장용,남,1963-12-01,정당인,경남대학교 정치외교학과 졸업,(전)민주당 부대변인,"45,400",54,경기,정당인,경남대학교,,,,
254,경북,경주시,새누리당,정수성,남,1946-01-02,국회의원,경북고등학교 졸업,(현) 제18대 국회의원,"67,455",71,경북,국회의원,경북고등학교,,,,
76,대구,중구남구,새누리당,김희국,남,1958-10-20,정당인,경북대학교 행정학과 졸업,전)국토해양부 차관,"58,425",59,대구,정당인,경북대학교,,,,
153,경남,창원시마산회원구,새누리당,안홍준,남,1951-03-02,국회의원,경상대학교 대학원 졸업(의학박사),"(현)제17,18대 국회의원","53,382",66,경남,국회의원,경상대학교,,,,
51,경남,진주시을,새누리당,김재경,남,1961-10-10,국회의원,경상대학교 법경대학(현 법과대학) 법학과 졸업,(전)한나라당 경남도당 위원장,"38,765",56,경남,국회의원,경상대학교,,,,
253,서울,종로구,민주통합당,정세균,남,1950-09-26,국회의원,경희대학교 대학원 경영학 박사,(전)민주당 대표,"41,732",67,서울,국회의원,경희대학교,,,,
107,경남,창원시의창구,새누리당,박성호,남,1957-03-13,대학교수,경희대학교 대학원 경제학과 졸업(경제학 박사),(전)국립 창원대학교 제5대 총장,"58,140",60,경남,교수,경희대학교,,,,
17,경북,안동시,새누리당,김광림,남,1948-04-28,국회의원,경희대학교 대학원 졸업 행정학 박사,(현)18대 국회의원,"63,561",69,경북,국회의원,경희대학교,,,,
62,전북,고창군부안군,민주통합당,김춘진,남,1953-01-24,국회의원,경희대학교 대학원 치의학과 졸업(치의학 박사),(현)제18대 국회의원,"23,097",64,전북,국회의원,경희대학교,,,,
97,경기,남양주시을,민주통합당,박기춘,남,1956-05-01,국회의원,경희대학교 대학원 행정학과 졸업(행정학 박사),(전) 민주당 경기도당위원장,"62,329",61,경기,국회의원,경희대학교,,,,
47,제주,제주시을,민주통합당,김우남,남,1955-05-23,정치인,경희대학교 대학원(석사과정) 경영학과(경영학) 수료,"제17,18대 국회의원","46,236",62,제주,정당인,경희대학교,,,,
20,강원,원주시갑,새누리당,김기선,남,1952-10-29,정당인,경희대학교 법과대학 행정학과 졸업,전)강원도 정무부지사,"31,413",65,강원,정당인,경희대학교,,,,
89,부산,사상구,민주통합당,문재인,남,1953-01-24,법무법인부산 대표변호사,경희대학교 법률학과 졸업,(전) 청와대 비서실장,"65,336",64,부산,변호사,경희대학교,,,,
63,경기,성남시수정구,민주통합당,김태년,남,1965-03-20,정당인,경희대학교 행정대학원 졸업(행정학석사),(전)17대 국회의원,"51,142",52,경기,정당인,경희대학교,,,,
118,서울,중랑구을,민주통합당,박홍근,남,1969-10-08,정당인,경희대학교 행정대학원 환경행정학과 석사과정 졸업,(전) 경희대학교 총학생회장,"44,212",48,서울,정당인,경희대학교,,,,
181,비례,비례대표,새누리당,윤명희,여,1956-08-26,(주)농업회사법인 한국라이스텍 대표이사,경희사이버대학교 외식농수산경영학과졸업,(현)한국농수식품CEO연합회 부회장,,61,비례,기업인,경희사이버대학교,,,,
154,울산,동구,새누리당,안효대,남,1955-07-27,정당인,계명대학교 경영학과 졸업,(전)현대중공업 근무,"41,395",62,울산,정당인,계명대학교,,,,
7,비례,비례대표,새누리당,강은희,여,1964-10-23,(주)위니텍 대표이사,계명대학교 산업기술대학원 컴퓨터공학과졸업(공학석사),(현)(사)IT여성기업인협회 회장,,53,비례,기업인,계명대학교,,,,
267,전남,여수시을,민주통합당,주승용,남,1952-07-27,국회의원,고려대학교 경영대학원 졸업(경영학 석사),17대·18대 국회의원,"44,313",65,전남,국회의원,고려대학교,,,,
201,전북,전주시완산구을,민주통합당,이상직,남,1963-01-30,이스타항공 회장,고려대학교 경영대학원 졸업(경영학석사),(전)(주)케이아이씨 대표이사,"39,892",54,전북,기업인,고려대학교,,,,
219,서울,은평구을,새누리당,이재오,남,1945-01-11,국회의원,고려대학교 교육대학원 졸업(교육학 석사),(전)국민권익위원장,"63,238",72,서울,국회의원,고려대학교,,,,
15,경기,부천시원미구갑,민주통합당,김경협,남,1962-11-07,[사단법인]한국고용복지센터 상임이사,고려대학교 노동대학원(경제학석사) 졸업,(전)한국노총 부천지역지부 의장,"33,397",55,경기,기타,고려대학교,,,,
29,경기,용인시을,민주통합당,김민기,남,1966-04-28,정당인,고려대학교 농업경제학과 졸업,(전)민주당 경기도당 대변인,"68,052",51,경기,정당인,고려대학교,,,,
292,비례,비례대표,민주통합당,홍의락,남,1955-03-11,정당인,고려대학교 농업경제학과졸업,(전)경북도지사후보,,62,비례,정당인,고려대학교,,,,
159,서울,강북구갑,민주통합당,오영식,남,1967-02-28,정당인,고려대학교 대학원 경영학과 박사과정(재무론) 수료,(전)고려대학교 총학생회장,"37,352",50,서울,정당인,고려대학교,,,,
150,인천,서구강화군을,새누리당,안덕수,남,1946-01-26,정당인,고려대학교 대학원 농업경제학과 졸업(경제학박사),(전)민선4기·5기 강화군수,"43,970",71,인천,정당인,고려대학교,,,,
287,경기,시흥시갑,새누리당,함진규,남,1959-08-13,한국무역보험공사 등기이사,고려대학교 대학원 법학박사과정 수료,(전)한나라당 시흥시갑 당협위원장,"39,939",58,경기,기타,고려대학교,,,,
