"","user","grade","review"
"1","STARRY","7","무서워요... 좀비가 조금 무섭다... 실제감이 나게 배우들이 연기를 아주 잘하셨네요~~  실제로 나타난다면... 평점이 이럴 수는 없겠지만요... 그리고 좀비영화는 무서운 것도 많으니까..^^;;하지만 요즘 좀비영화가 땡기는 사람에게는 추천이네요!  그래도. ...  마동석이 좀비 된 모습은... 가뜩이나 근육도 많은데... 좀비 모습이니까.. 밖에서 그렇게 생긴 사람을 만나면 기절할 것 같네요(그만큼 무서웠다는 소리에요.^^)"
"2","Eunmi Lee","9","늦었지만 재밌게 봤어요~"
"3","정원혁","0","1점이라도 줄려다가 10점주는 애기들이 많아서 ㅋㅋ0점임!ㅋㅋ"
"4","광순","10",""
"5","효림","6","개인적으로 좀 무서웠던 영화. 아직 중학생도 되지 않았지만 보는 내가 다 눈물이 나는 그런 영화. 좀비들의 위치랑 어디서 나올 장면인지 한번만 봐도 외워지는 뻔한 이야기.. 그래도 잘 봤음"
"6","강철은따로없다","10",""
"7","FukaToyokawa","7",""
"8","이전","3","한물간 좀비영화이제 만들어서 어쩔려구좀비로 샌드백을 치는 마동석공유는도가니부터 어쩜연기가 똑같냐       이후좀비는 지구상에서 멸종되다대단한 영화다"
"9","Garfield","10","8점쯤 주고 싶은데 0점 준 애가 보이길래 10점"
"10","shinek","10","굿"
"11","flower","7","기차는 좀비를 싣고"
"12","은혜","10","너무 재밌게 봤어요!!진짜 2번이나더 볼 정도예요!!! 이렇게 재밌는영화 찍어주신 감독님과 배우님들수고 많으셨고요^^~ 부산행영화 대박나세영~~~><"
"13","김진모","1","하나도 안무섭습니다. 애들영화"
"14","sunny","8","."
"15","스페셜투마로","8",""
"16","winny","5","난 별로던데.....너무 허황된게 많아서....킬타로는 무난."
"17","402호죽어라","7","허얼부산행에 주봉이 나오네"
"18","달려야하니","3","좀비싫다. 이런거 만들지마슈"
"19","눈큰악마","10",""
"20","세인","5","클리셰의 향연"
"21","김영일","7",""
"22","Joe","4","영화를 이렇게 감성적으로 만드니 국민들은 이성적인것보다 감성적으로 생각하고 현실에서도 옳은게 무엇인지 객관적이고 이성적인 판단보다는 감성적으로 그냥 이라는 판단을 하게 된다 현재가 바로 대한민국의 위험이다"
"23","닉네임을 등록해 주세요","10",""
"24","나무샘","10",""
"25","적분상수_the_love","8","좀비 영화를 좋아하는 사람으로서새로운 한국형 좀비를 열어준 면에 대한 감사를 보낸다.기승전결이 약해서 아쉬울 따름."
"26","푸른달","9","볼때마다 재밌다"
"27","빨강머리앤","10",""
"28","인랑","10",""
"29","박종원","8",""
"30","youngsang","7",""
"31","qhfkehfdl","9","올만에 봤는데 넘 잼나네요. 심장쫄깃, 눈물도 나고해외에서도 다 호평하는데 욕부터 하고 보는 사람들은 뭔지."
"32","최홍철","9",",,,"
"33","안재욱","4","..."
"34","진통제","9","z"
"35","이동규","9",""
"36","희도","10","진짜 공유 검나 잘생ㄱㅕ따"
"37","핀엑스니들","9","꼭 봐야할 한국영화중에 하나일거 같은데....국산 좀비물 방가워"
"38","김 상 영","6","꿀꿀꿀 잼 넘 잼밌음 4번 봄 장점 시나리오 잘했다! 단점 하 좀비들 그딴ㅅ 하 그래도 볼만해근대  이게 영 화 야 @@@@ 재밌긴 한대 참 이게 좀 짜증 나는 부분 많 았 다~~~~~~~~!"
"39","물구나무","9","이밤에 불끄고 재밌게 봤어요. 감사"
"40","네오ew","1","ㆍ"
"41","노형준","8",""
"42","sh","8","이거왜이렇게슬프냐  아  암유발새끼땜에  마동석도물리고 공유도 하아....,"
"43","문지현","10",""
"44","똑바로 살자","10","한국의 영화계를 바꿔논 작품"
"45","전창현","7",""
"46","볼살여왕","9",""
"47","알래스카불곰","8","한국 좀비 영화의 시작"
"48","daum golf","8",""
"49","안슈타박사","5","액션에 여러가지 드라마를 얼기설기 엮었다. 때문에 이야기의 전개가 어색한 부분들이 많다. 아역의 연기에 기대서 행운 바라는건 그만좀. 메시지도 보이지만 깊지 않다. 흔한 좀비 영화에 한국식 신파의 결합. 액션은 나름 인상깊다. 액션만큼은 훌륭한 연출력"
"50","빨강머리앤","10","좋어"
"51","푸른밤","7","한국 좀비물의 정점"
"52","비틀쥬스","7","첫 국내 좀비영화라 할 만한 수작세밀함이 부족하지만 시작으론 충분한다 생각힙니다"
"53","같이가자","7",""
"54","cemetery","8","마동석하고 좀비들끼리 싸움이 재미었는데 마무리가 조금 아쉽네요"
"55","ropy07","8","좀비를 이긴 부성애사실 극중 공유는 츤데레였다이기적으로 살라 하지만 딸얘기는 다들어줌많은이들이 희생해서 지킨 것문열어주는 할머니마음이 참 인상적이었다"
"56","포포","10",""
"57","soiler","7","그래도 천만"
"58","책이로검색하기","2","천만관객이라. 부끄럽다. 이건 뭐지? 이 집단최면 현상은? 지금은 다행히 풀렸다만 그 천만은 잠복해있다 언제 한번 또 좀비처럼 달려나가겠지? 나는 그게 더 무섭다."
"59","안미란","9",""
"60","유투","6","딱 한국영화.. 설정은 좋았으나 세련된 디테일함이 부족합니다.."
"61","불나방","3","보는 내내 발암ㅜㅜ이게 천만 이라고?할머니 연기하신 분들이랑 마동석먀 좋았음."
"62","박지우","9",""
"63","마왕물산대표","6",""
"64","장군","0","바쁜 일상으로 이제 봅니다.천만관객수에 봤는데 이건 쓰레기 영화네요.무슨 30 여년전 8mm 영화임?"
"65","아로로","7",""
"66","사용무","10","재미와 감동이 폭발!!"
"67","조영일","9",""
"68","이딴세상","6","나에겐 그딱이었음마동석과 좀비대결 이게 말이 되나 싶기도 하고..."
"69","소독용에탄올","8",""
"70","lunar eclipse","1","."
"71","김형준","7",""
"72","jbok","10",""
"73","소가현","7",""
"74","RangBee","1","태극기휘날리며,해운대 그리고 부산행... 카피 아류작 아니에요? 부산행 진심 재미지신가요? 어설프게 좀비 연기할꺼면 걍 CG 를 써요~ 내눈엔 얼굴이 붉어질만큼 창피한... TV 드라마보다 못하네요..."
"75","우리가 꿈꾸는나라","8",""
"76","홍은택","8","한국형 좀비영화의 가능성"
"77","운대구사","7","재미있게 잘 봤습니다기차라는 한정적인 장소가 좀비에 대한 공포뿐 아니라 속절없이 갇혔다는 생각이 들게 하면서 더 손에 땀을 쥐게 만듭니다좀비 영화의 꽃은 좀비와 일대일 다이다이가 아니라 소수의 사람을 무자비하게 쫓는 좀비떼들이라고 생각하는데 마지막 기차 장면의 연출이 단연 최고였다고 생각합니다다만 아쉬운점은 입체적이 않은 인물들이 스토리 구성의 얕은점을 부각합니다"
"78","김장군","8","끌고 가는 극본의 힘이 있었으나 마무리는 좀 맥 빠지는"
"79","탁선생","8","우리도 이런 영화 만들 수 있구나^^*"
"80","jcw","9","우리 사회의 단면을그린거 같다.그장면이 생각난다, 객실에서 필승코리아 벨이 울리니 좀비들이 거기로 우루루 몰려가는 모습이우리가 월드컵때 거리로, 경기장으로 몰려들때서해 최전선 연평도 부근 해상에서는 북한군이 우리군을 무차별 도발하고 있던 그때우리는 대통령이 누르고 있어 진실을 제대로 알수가 없었다2019년 4월 현재도 진행되고 있다."
"81","하늘지기","0","진짜재미없네괜히돈만낭비됐고다시는안본다"
"82","LavePup","10","우도임이 예뻐요"
"83","Missing You","8","김웅찬님 요즘 촬영출연팀엔 엑스트라 라고 하지 않습니다. 물론 이 바닥엔 잘몰라서 그럴 수 있다고 생각합니다만. 엑스트라가 아닌 보조출연자라고 하는데. 옛날처럼 아마추어 같이 엑스트라라고 하지 않아요. 그냥 그렇게만 알아두심 되시고 저도 또한 부산행의 좀비로 출연헸던지라. 하고 싶으시면 서울가서 찾으시면 출연할 기회가 많아요."
"84","푸른바다","10","좀비를 좋아하지는 않는데, 한국에서도 좀비영화를 제작할 수 있다는 현실에 깜놀했던.."
"85","Kengh","10",""
"86","주흥열","7",""
"87","P NO KEY YO","9","진짜 좀비 나오게 생겼네"
"88","qryche","9",""
"89","오얏나무","10","여전부터 봐야지 했는데 이제서야 봤다. 한국인 특성답게 여러 코드로 버무려서 마치 비빔밥을 먹는 것과 같았다. 물론 비빔밥도 누가 요리를 하느냐에 따라서 맛 있고 없고 말하겠지만, 부산행은 좀비물 보았던 것들 중 또 하나의 최고로 맛나게 먹었던 비빔밥이었다는 것! 부산행 후속편이 나온다고 하니 또 어떤 비빔밥일지 무척 기대된다."
"90","미야","5",""
"91","sby6947","10","처음 한국에서 만들어진 좀비영화라하여 보게되었다. 기대 이상으로 구성이 탄탄하고 현실감 넘치는 영화였다."
"92","지혜의 준서","10","해외 극장에서 봤는데 좋았었어요"
"93","LeeHojoong","6","주인공이 다 죽는영화.. ㄷㄷ"
"94","썰렁맨","5","재미는 있었는데 여자 와 아이는 가장 민폐를 끼치고도 살아남음것은 그들뿐...공유와고 정유미 남편으로 나온(이름이 생각안남) 사람만 헛짓...그리고 마지막 남은 객실 남자승무원을 너무 바보같이 표현..."
"95","차해빈","10","오"
"96","호박","10","재밌음"
"97","느린자유인","10","좀 잔인해서 아쉽.  (2-) 너무 재밌어서  (99999999999999999999+)"
"98","ONETWO12","5","이게천만?"
"99","변성민","7",""
"100","친일적폐척살","7","그 와중에 정부발표""가정에서 자리를 지키시길.""쳐 뒈질때까지 가만히 있으라? 잘하는 짓거리다.절대 잊지 맙시다."
"101","박민혁","6",""
"102","피아노노노","3",""
"103","김웅찬","10","좋은 점. 1 - 주인공 잘 생기면 안 죽는데, 죽어서 펄쩍 놀람. 2 - 죽기 전 회상. 펑펑 울고 싶었다. 3 - 사살하라. 후 방아쇠 손가락. 아주 인상적. 4 - 이 새끼 감염됐어. 좋았다. 좀비만 적이 아니다. 5 - 문 아래있던 여자 얼굴이 90 도로 쭉 올라와서 깨물어 놀람. 말 된다. 굿. 6 - 원더 걸스 나오길래 속으로, 썅~ 했는데. 전혀 걸그룹스럽지않게 연기 잘 해서 감탄. 걸그룹이라고 연기 못할거라고 넘겨짚어서 죄송. ㅡㅡㅡ 단점 두 곳. 1 - 원더 걸스가 물 때, 그냥 도망도 안 가고 어설프게 물리는 장면은 옥의 티. 별로 중요한 장면은 아니었지만 끝까지 최선을 다해주길. 귀여운 총각. 2 - 애기 아빠가 마지막 기차 싸울 때, 여태 잘 하다가, 오른손을 아예 입에 쑤셔넣어주는 건 몹시 몹시 못 마땅함. 제작비가 부족했나? 암튼 그 장면이 부산행의 최악의 실수. 2탄 나옴? 엑스트라하고 싶다능. 애정가는 영화."
"104","나민주","10","2두번째예고편정유미김수안불쌍한지하터널야외촬영현장후속작반도강동원오세요나온다제발보내드립니다!네"
"105","JPD","10",""
"106","Dexter","6","너무기대했나..."
"107","Haenggi","9",""
"108","The Box","7",""
"109","mrjoo","0",".."
"110","초란사랑","10","볼때 마다 눈물 남ㅠ"
"111","rjsrkdgodqhrqnwk","9","다시봐도  굿"
"112","Sopp","5",""
"113","야수죽이기","6","한국도 유치하지않은 좀비물을 만들수있다"
"114","Ka","8","재밌게 봤다 꼭 이런 영화엔 지 혼자 살겠다고 이상한 짓 하는 사람이 한둘씩 있지"
"115","티라미수JMT","6",""
"116","고다윤","5",""
"117","아삭아삭사각사각","6",""
"118","헵시바JY-BTS","10","믿보 공유님~~♡♡♡"
"119","joon","10","진짜 강추!! 너무 재밌어요!"
"120","김혜경","8",""
"121","해변의아침","7",""
"122","존엄한자","7",""
"123","된다된다된다","10","나는 이 영화 볼 때마다 재밌다.7.3 너무 짜다5번째 본다."
"124","『つ┃Øㅕ븐㉵ё‥ㅡ☆』","8","Train to Troll"
"125","조승완","0",""
"126","허재영","6",""
"127","김인순","10","좀비가 ""창궐""한 세상,(창궐)보다 잼나다."
"128","두유노미","4",""
"129","우주","9","몇일전에서야 봤는데.. 잘만들었네요..."
"130","정대기","2","어슬픈 영화  너무 어색하고 어슬퍼서 저런영화가 1000만이라니 , 예를들어 좀비에 쫒기고 기차에 탄배우들연기가 너무어색함"
"131","문소리","6","우리에게 이미 익숙해져 있는 뻔한 전개"
"132","무림의피바람","0",""
"133","socio","10","입 딱!!!!! 벌리고 봤어요. 공유 다시 봤네요 ~"
"134","채영석","9",""
"135","esketit","8","수안이가 핵심이었다"
"136","이용자","6","괜찮은 수작  인물들이 입체적이다.기승전결 과 즙타임 이교과서 적이지만 그래서 더 괜찮은 영화였다. 그 교과서적인것도 지키지못하는 영화가 수두룩하기에..."
"137","YAMA","6",""
"138","신동건","6",""
"139","699870634","7",""
"140","HardCore","0",""
"141","노마르","9",""
"142","고건우","5","아까운게 렌즈 티난다"
"143","잘했네","0","부끄럽다 이런 영화가 천만이라니..~~카피에 엉성한 구성에.....억지에...각본이라고 끄적거렸나?"
"144","물고기","10",""
"145","뮤햐","1","거의 쓰레기급 영화"
"146","-0-","3","디테일이허접"
"147","주황","10","진짜 값어치 있는 좀비 영화. 잘만들었습니다."
"148","참한 곰","1","아이연기 정말 짜증나네요. 그리고 내용 연결이랄까 너무 억지스러운 면도 많아보이고"
"149","은솔","10","ㅎㅎ"
"150","Prashast Singh","10",""
"151","영tv","9",""
"152","사랑니","8","가만히 보면 여러가지 교훈이 많이 담겨 있다.단순히 오락에 취중하지 않고 생각할꺼리를 던져놨다."
"153","허정빈","7","구성에 구멍이 뜷렸지만 액션이 매웠네"
"154","sam23e","1",""
"155","문어","10","재미있게 봤어요, 좀비 라는게,,, 진짜 있을수있나?생각도 다시하게됬구요"
"156","박훈빈","0",""
"157","ts2kc","8",""
"158","부우","6","주인공은 감염 되도 대사 칠 시간 충분 함ㅋㅋㅋㅋㅋ"
"159","뀨루","10","실감나게 재밌었어요"
"160","김헤븐","9","좀비물인데 울수도 있다니..배우들 연기도 훌륭했어요"
"161","낭만고양이","10","더 빨리 관람하지 못했다는 것에 안타까울 정도로 좋았음 부녀간의 사랑과  부부간의 사랑을 위해 희생하는 아름다움~"
"162","Charisma헌","8",""
"163","리투아니아","6",""
"164","재야리","5",""
"165","이채린","8","좀비영화인지 스릴이 있어요"
"166","노보리자카","8",""
"167","문캐리","8","좀 어이없는 스토리와장면들"
"168","태우자","9","재미만으론  10점짜리.. 그러나 막판 늘어지는 신파성에 1점 감점. 좀비들의 세련미는 브래드피트의 월드워보다 나아보였으며 배우들의 인간미는 워킹데드보다 진했다.  국뽕을 느끼며 본 영화.."
"169","CRAZYULTRA","6","마동석을 살여내라"
"170","괴물","5",""
"171","yu","8",""
"172","제물포","0","좀비영화중 제일 쓰레기영화"
"173","Since1989","5","이 정도면 비추할만하다"
"174","금개똥","6","나 전주사는데 전주행으로 해주지.."
